,lwe_thickness,total_thickness_of_water_storage
1958-01-31,,4.667643229171517
1958-02-28,,5.339518229171517
1958-03-31,,6.784830729171517
1958-04-30,,5.042643229171517
1958-05-31,,3.3629557291715173
1958-06-30,,2.0582682291715173
1958-07-31,,2.9723307291715173
1958-08-31,,1.1754557291715173
1958-09-30,,-0.9807942708284827
1958-10-31,,0.7379557291715173
1958-11-30,,1.1832682291715173
1958-12-31,,1.7613932291715173
1959-01-31,,3.7770182291715173
1959-02-28,,2.4332682291715173
1959-03-31,,1.5504557291715173
1959-04-30,,0.4488932291715173
1959-05-31,,-0.7932942708284827
1959-06-30,,-4.332356770828483
1959-07-31,,-5.683919270828483
1959-08-31,,-5.222981770828483
1959-09-30,,-8.051106770828483
1959-10-31,,-9.238606770828483
1959-11-30,,-7.012044270828483
1959-12-31,,-5.379231770828483
1960-01-31,,-1.2854817708284827
1960-02-29,,-0.4026692708284827
1960-03-31,,0.6832682291715173
1960-04-30,,-1.1761067708284827
1960-05-31,,-2.7542317708284827
1960-06-30,,-3.7932942708284827
1960-07-31,,-4.363606770828483
1960-08-31,,-3.2229817708284827
1960-09-30,,-4.238606770828483
1960-10-31,,-2.1057942708284827
1960-11-30,,0.6910807291715173
1960-12-31,,3.8082682291715173
1961-01-31,,3.7301432291715173
1961-02-28,,4.620768229171517
1961-03-31,,3.6598307291715173
1961-04-30,,3.1832682291715173
1961-05-31,,3.0426432291715173
1961-06-30,,2.6832682291715173
1961-07-31,,-0.051106770828482695
1961-08-31,,-1.0511067708284827
1961-09-30,,-3.2464192708284827
1961-10-31,,-4.082356770828483
1961-11-30,,-2.3636067708284827
1961-12-31,,1.1520182291715173
1962-01-31,,1.8707682291715173
1962-02-28,,4.128580729171517
1962-03-31,,3.9723307291715173
1962-04-30,,3.4332682291715173
1962-05-31,,2.2613932291715173
1962-06-30,,-0.2464192708284827
1962-07-31,,-1.1761067708284827
1962-08-31,,-2.1292317708284827
1962-09-30,,-3.0589192708284827
1962-10-31,,-4.871419270828483
1962-11-30,,-4.176106770828483
1962-12-31,,-1.9886067708284827
1963-01-31,,-0.8011067708284827
1963-02-28,,0.2692057291715173
1963-03-31,,0.3395182291715173
1963-04-30,,-0.6839192708284827
1963-05-31,,-1.8636067708284827
1963-06-30,,-2.4964192708284827
1963-07-31,,-4.793294270828483
1963-08-31,,-5.058919270828483
1963-09-30,,-4.738606770828483
1963-10-31,,-4.129231770828483
1963-11-30,,-3.0276692708284827
1963-12-31,,-1.9807942708284827
1964-01-31,,-2.2698567708284827
1964-02-29,,-0.9182942708284827
1964-03-31,,-1.4729817708284827
1964-04-30,,-0.8636067708284827
1964-05-31,,-2.1995442708284827
1964-06-30,,-4.262044270828483
1964-07-31,,-6.433919270828483
1964-08-31,,-5.566731770828483
1964-09-30,,-7.144856770828483
1964-10-31,,-5.269856770828483
1964-11-30,,-3.7932942708284827
1964-12-31,,-1.3870442708284827
1965-01-31,,0.7301432291715173
1965-02-28,,2.0817057291715173
1965-03-31,,3.5426432291715173
1965-04-30,,3.2457682291715173
1965-05-31,,4.730143229171517
1965-06-30,,4.159830729171517
1965-07-31,,2.5270182291715173
1965-08-31,,0.8317057291715173
1965-09-30,,1.1754557291715173
1965-10-31,,-0.7698567708284827
1965-11-30,,-0.3167317708284827
1965-12-31,,4.034830729171517
1966-01-31,,5.855143229171517
1966-02-28,,7.136393229171517
1966-03-31,,6.714518229171517
1966-04-30,,7.089518229171517
1966-05-31,,4.222330729171517
1966-06-30,,1.7848307291715173
1966-07-31,,3.2301432291715173
1966-08-31,,3.4332682291715173
1966-09-30,,2.3160807291715173
1966-10-31,,0.4957682291715173
1966-11-30,,1.9176432291715173
1966-12-31,,4.612955729171517
1967-01-31,,7.362955729171517
1967-02-28,,7.206705729171517
1967-03-31,,7.831705729171517
1967-04-30,,6.808268229171517
1967-05-31,,4.519205729171517
1967-06-30,,4.230143229171517
1967-07-31,,0.6598307291715173
1967-08-31,,-0.6604817708284827
1967-09-30,,0.0660807291715173
1967-10-31,,-0.035481770828482695
1967-11-30,,-0.1761067708284827
1967-12-31,,1.9879557291715173
1968-01-31,,4.878580729171517
1968-02-29,,4.831705729171517
1968-03-31,,4.964518229171517
1968-04-30,,2.4801432291715173
1968-05-31,,1.5035807291715173
1968-06-30,,0.4801432291715173
1968-07-31,,-1.2698567708284827
1968-08-31,,-2.7932942708284827
1968-09-30,,-1.3870442708284827
1968-10-31,,0.7848307291715173
1968-11-30,,1.6910807291715173
1968-12-31,,1.6442057291715173
1969-01-31,,2.6363932291715173
1969-02-28,,4.152018229171517
1969-03-31,,4.355143229171517
1969-04-30,,3.5738932291715173
1969-05-31,,2.5738932291715173
1969-06-30,,2.1520182291715173
1969-07-31,,-1.0979817708284827
1969-08-31,,-4.176106770828483
1969-09-30,,-4.426106770828483
1969-10-31,,-6.074544270828483
1969-11-30,,-3.6370442708284827
1969-12-31,,-1.2464192708284827
1970-01-31,,0.0895182291715173
1970-02-28,,2.6910807291715173
1970-03-31,,5.542643229171517
1970-04-30,,5.730143229171517
1970-05-31,,4.402018229171517
1970-06-30,,1.2223307291715173
1970-07-31,,-0.9339192708284827
1970-08-31,,-0.6370442708284827
1970-09-30,,-1.4573567708284827
1970-10-31,,-0.2932942708284827
1970-11-30,,2.4488932291715173
1970-12-31,,3.8238932291715173
1971-01-31,,3.3395182291715173
1971-02-28,,3.3082682291715173
1971-03-31,,3.4488932291715173
1971-04-30,,1.4567057291715173
1971-05-31,,-0.4104817708284827
1971-06-30,,1.5660807291715173
1971-07-31,,-1.6448567708284827
1971-08-31,,-4.683919270828483
1971-09-30,,-5.551106770828483
1971-10-31,,-4.941731770828483
1971-11-30,,-3.9886067708284827
1971-12-31,,-1.5667317708284827
1972-01-31,,-1.0511067708284827
1972-02-29,,-1.0276692708284827
1972-03-31,,-1.7073567708284827
1972-04-30,,-0.4807942708284827
1972-05-31,,-0.5276692708284827
1972-06-30,,0.019205729171517305
1972-07-31,,-1.9182942708284827
1972-08-31,,-1.9807942708284827
1972-09-30,,-3.0823567708284827
1972-10-31,,-4.168294270828483
1972-11-30,,-2.7386067708284827
1972-12-31,,-2.0276692708284827
1973-01-31,,-2.7307942708284827
1973-02-28,,-0.6604817708284827
1973-03-31,,0.034830729171517305
1973-04-30,,0.3082682291715173
1973-05-31,,-0.9573567708284827
1973-06-30,,-3.4104817708284827
1973-07-31,,-4.621419270828483
1973-08-31,,-6.269856770828483
1973-09-30,,-8.051106770828483
1973-10-31,,-6.566731770828483
1973-11-30,,-4.457356770828483
1973-12-31,,-1.1448567708284827
1974-01-31,,-0.1214192708284827
1974-02-28,,0.9645182291715173
1974-03-31,,0.5270182291715173
1974-04-30,,-2.3557942708284827
1974-05-31,,-3.2229817708284827
1974-06-30,,-2.8636067708284827
1974-07-31,,-1.9339192708284827
1974-08-31,,-3.5198567708284827
1974-09-30,,-4.543294270828483
1974-10-31,,-2.3636067708284827
1974-11-30,,0.4488932291715173
1974-12-31,,5.456705729171517
1975-01-31,,6.987955729171517
1975-02-28,,6.183268229171517
1975-03-31,,4.753580729171517
1975-04-30,,5.230143229171517
1975-05-31,,2.9879557291715173
1975-06-30,,0.3317057291715173
1975-07-31,,-0.7307942708284827
1975-08-31,,-3.6917317708284827
1975-09-30,,-4.543294270828483
1975-10-31,,-4.551106770828483
1975-11-30,,-4.027669270828483
1975-12-31,,-2.2620442708284827
1976-01-31,,2.6129557291715173
1976-02-29,,3.2067057291715173
1976-03-31,,1.5426432291715173
1976-04-30,,-0.3792317708284827
1976-05-31,,-2.9573567708284827
1976-06-30,,-4.449544270828483
1976-07-31,,-8.402669270828483
1976-08-31,,-9.246419270828483
1976-09-30,,-9.668294270828483
1976-10-31,,-8.246419270828483
1976-11-30,,-6.847981770828483
1976-12-31,,-4.058919270828483
1977-01-31,,-1.6682942708284827
1977-02-28,,0.7145182291715173
1977-03-31,,1.5660807291715173
1977-04-30,,2.2223307291715173
1977-05-31,,0.4488932291715173
1977-06-30,,-1.5432942708284827
1977-07-31,,-3.0042317708284827
1977-08-31,,-1.3870442708284827
1977-09-30,,-1.0276692708284827
1977-10-31,,-1.7698567708284827
1977-11-30,,0.2067057291715173
1977-12-31,,1.4254557291715173
1978-01-31,,2.6442057291715173
1978-02-28,,2.9254557291715173
1978-03-31,,2.7770182291715173
1978-04-30,,1.8082682291715173
1978-05-31,,1.3551432291715173
1978-06-30,,-1.8167317708284827
1978-07-31,,-2.8714192708284827
1978-08-31,,-2.5511067708284827
1978-09-30,,-2.1917317708284827
1978-10-31,,-0.5667317708284827
1978-11-30,,-1.9651692708284827
1978-12-31,,-0.3870442708284827
1979-01-31,,3.3785807291715173
1979-02-28,,4.667643229171517
1979-03-31,,5.159830729171517
1979-04-30,,5.542643229171517
1979-05-31,,3.2301432291715173
1979-06-30,,0.3863932291715173
1979-07-31,,-1.6839192708284827
1979-08-31,,-1.6370442708284827
1979-09-30,,-2.1761067708284827
1979-10-31,,-2.5745442708284827
1979-11-30,,-0.035481770828482695
1979-12-31,,3.4020182291715173
1980-01-31,,4.230143229171517
1980-02-29,,5.737955729171517
1980-03-31,,4.542643229171517
1980-04-30,,4.800455729171517
1980-05-31,,2.2301432291715173
1980-06-30,,0.7613932291715173
1980-07-31,,3.3785807291715173
1980-08-31,,1.8942057291715173
1980-09-30,,0.9957682291715173
1980-10-31,,1.4957682291715173
1980-11-30,,2.4957682291715173
1980-12-31,,4.355143229171517
1981-01-31,,6.245768229171517
1981-02-28,,6.198893229171517
1981-03-31,,7.292643229171517
1981-04-30,,4.753580729171517
1981-05-31,,2.8082682291715173
1981-06-30,,1.5504557291715173
1981-07-31,,1.9723307291715173
1981-08-31,,2.3082682291715173
1981-09-30,,0.011393229171517305
1981-10-31,,2.2692057291715173
1981-11-30,,5.222330729171517
1981-12-31,,8.480143229171517
1982-01-31,,8.409830729171517
1982-02-28,,7.597330729171517
1982-03-31,,6.472330729171517
1982-04-30,,4.066080729171517
1982-05-31,,2.4254557291715173
1982-06-30,,-0.5901692708284827
1982-07-31,,-1.9339192708284827
1982-08-31,,-4.129231770828483
1982-09-30,,-5.941731770828483
1982-10-31,,-5.933919270828483
1982-11-30,,-5.176106770828483
1982-12-31,,-2.8870442708284827
1983-01-31,,0.1832682291715173
1983-02-28,,2.8785807291715173
1983-03-31,,2.3082682291715173
1983-04-30,,4.331705729171517
1983-05-31,,4.589518229171517
1983-06-30,,1.5270182291715173
1983-07-31,,-2.8636067708284827
1983-08-31,,-3.2854817708284827
1983-09-30,,-5.801106770828483
1983-10-31,,-6.082356770828483
1983-11-30,,-6.355794270828483
1983-12-31,,-3.4964192708284827
1984-01-31,,-0.2229817708284827
1984-02-29,,2.0113932291715173
1984-03-31,,0.6598307291715173
1984-04-30,,0.8238932291715173
1984-05-31,,-0.8479817708284827
1984-06-30,,-0.4104817708284827
1984-07-31,,-1.2854817708284827
1984-08-31,,-2.6370442708284827
1984-09-30,,-2.4495442708284827
1984-10-31,,-1.2229817708284827
1984-11-30,,-1.5745442708284827
1984-12-31,,-0.2932942708284827
1985-01-31,,0.5504557291715173
1985-02-28,,1.6129557291715173
1985-03-31,,1.0817057291715173
1985-04-30,,1.2457682291715173
1985-05-31,,-0.3323567708284827
1985-06-30,,-1.2932942708284827
1985-07-31,,-2.2464192708284827
1985-08-31,,-1.9182942708284827
1985-09-30,,-2.4104817708284827
1985-10-31,,-4.269856770828483
1985-11-30,,-3.0823567708284827
1985-12-31,,-0.051106770828482695
1986-01-31,,3.1754557291715173
1986-02-28,,3.5660807291715173
1986-03-31,,2.7770182291715173
1986-04-30,,2.7848307291715173
1986-05-31,,0.8942057291715173
1986-06-30,,1.1988932291715173
1986-07-31,,-2.7776692708284827
1986-08-31,,-3.2229817708284827
1986-09-30,,-2.7073567708284827
1986-10-31,,-3.6682942708284827
1986-11-30,,-1.8479817708284827
1986-12-31,,-1.0354817708284827
1987-01-31,,5.089518229171517
1987-02-28,,5.269205729171517
1987-03-31,,5.691080729171517
1987-04-30,,4.542643229171517
1987-05-31,,2.8785807291715173
1987-06-30,,3.5738932291715173
1987-07-31,,2.3317057291715173
1987-08-31,,2.3863932291715173
1987-09-30,,1.8004557291715173
1987-10-31,,0.8082682291715173
1987-11-30,,1.2848307291715173
1987-12-31,,3.0660807291715173
1988-01-31,,4.847330729171517
1988-02-29,,6.948893229171517
1988-03-31,,9.925455729171517
1988-04-30,,8.011393229171517
1988-05-31,,2.6363932291715173
1988-06-30,,0.8551432291715173
1988-07-31,,0.4488932291715173
1988-08-31,,-1.7932942708284827
1988-09-30,,-1.7151692708284827
1988-10-31,,-2.4339192708284827
1988-11-30,,-1.9651692708284827
1988-12-31,,2.6363932291715173
1989-01-31,,2.9645182291715173
1989-02-28,,1.9254557291715173
1989-03-31,,3.1363932291715173
1989-04-30,,2.4567057291715173
1989-05-31,,0.1754557291715173
1989-06-30,,-2.6917317708284827
1989-07-31,,-4.285481770828483
1989-08-31,,-5.191731770828483
1989-09-30,,-5.480794270828483
1989-10-31,,-5.519856770828483
1989-11-30,,-3.6214192708284827
1989-12-31,,-1.6917317708284827
1990-01-31,,-0.8870442708284827
1990-02-28,,0.6442057291715173
1990-03-31,,1.9723307291715173
1990-04-30,,0.8082682291715173
1990-05-31,,-1.1682942708284827
1990-06-30,,-1.4495442708284827
1990-07-31,,-3.7307942708284827
1990-08-31,,-6.754231770828483
1990-09-30,,-5.715169270828483
1990-10-31,,-5.285481770828483
1990-11-30,,-3.5432942708284827
1990-12-31,,-0.1292317708284827
1991-01-31,,1.2613932291715173
1991-02-28,,0.3082682291715173
1991-03-31,,-0.4026692708284827
1991-04-30,,-1.5276692708284827
1991-05-31,,-2.0745442708284827
1991-06-30,,-2.7932942708284827
1991-07-31,,-3.1292317708284827
1991-08-31,,-3.8636067708284827
1991-09-30,,-6.887044270828483
1991-10-31,,-7.004231770828483
1991-11-30,,-4.519856770828483
1991-12-31,,-2.3792317708284827
1992-01-31,,0.4254557291715173
1992-02-29,,0.8707682291715173
1992-03-31,,2.2692057291715173
1992-04-30,,2.7535807291715173
1992-05-31,,-0.4026692708284827
1992-06-30,,-4.121419270828483
1992-07-31,,-5.121419270828483
1992-08-31,,-7.355794270828483
1992-09-30,,-6.801106770828483
1992-10-31,,-7.449544270828483
1992-11-30,,-4.027669270828483
1992-12-31,,-0.4964192708284827
1993-01-31,,0.7379557291715173
1993-02-28,,2.1285807291715173
1993-03-31,,1.7067057291715173
1993-04-30,,-0.1995442708284827
1993-05-31,,-3.7542317708284827
1993-06-30,,-3.7151692708284827
1993-07-31,,-3.2151692708284827
1993-08-31,,-3.0589192708284827
1993-09-30,,-2.2698567708284827
1993-10-31,,-1.9651692708284827
1993-11-30,,-0.9417317708284827
1993-12-31,,1.9410807291715173
1994-01-31,,4.972330729171517
1994-02-28,,5.339518229171517
1994-03-31,,6.378580729171517
1994-04-30,,7.964518229171517
1994-05-31,,4.355143229171517
1994-06-30,,1.8942057291715173
1994-07-31,,-2.5979817708284827
1994-08-31,,-4.551106770828483
1994-09-30,,-2.1995442708284827
1994-10-31,,-3.1682942708284827
1994-11-30,,-2.2698567708284827
1994-12-31,,0.4020182291715173
1995-01-31,,2.9645182291715173
1995-02-28,,5.566080729171517
1995-03-31,,5.691080729171517
1995-04-30,,6.230143229171517
1995-05-31,,3.5895182291715173
1995-06-30,,4.472330729171517
1995-07-31,,0.3863932291715173
1995-08-31,,-3.2698567708284827
1995-09-30,,-0.1448567708284827
1995-10-31,,-1.3557942708284827
1995-11-30,,0.042643229171517305
1995-12-31,,0.6129557291715173
1996-01-31,,0.6598307291715173
1996-02-29,,0.7379557291715173
1996-03-31,,0.6442057291715173
1996-04-30,,-0.4964192708284827
1996-05-31,,-0.3401692708284827
1996-06-30,,-1.3557942708284827
1996-07-31,,-1.6214192708284827
1996-08-31,,-3.0354817708284827
1996-09-30,,-3.0276692708284827
1996-10-31,,-2.1761067708284827
1996-11-30,,-0.2151692708284827
1996-12-31,,1.0660807291715173
1997-01-31,,0.9410807291715173
1997-02-28,,1.6598307291715173
1997-03-31,,2.7145182291715173
1997-04-30,,2.4567057291715173
1997-05-31,,0.6129557291715173
1997-06-30,,-1.5745442708284827
1997-07-31,,-0.2932942708284827
1997-08-31,,-1.7776692708284827
1997-09-30,,-3.4339192708284827
1997-10-31,,-3.8714192708284827
1997-11-30,,-3.1526692708284827
1997-12-31,,-0.2698567708284827
1998-01-31,,1.7535807291715173
1998-02-28,,1.2223307291715173
1998-03-31,,2.8082682291715173
1998-04-30,,1.9645182291715173
1998-05-31,,-1.2464192708284827
1998-06-30,,-1.5042317708284827
1998-07-31,,-1.7386067708284827
1998-08-31,,-3.1526692708284827
1998-09-30,,-1.2386067708284827
1998-10-31,,0.7535807291715173
1998-11-30,,5.042643229171517
1998-12-31,,4.042643229171517
1999-01-31,,4.152018229171517
1999-02-28,,5.894205729171517
1999-03-31,,6.972330729171517
1999-04-30,,4.972330729171517
1999-05-31,,2.5035807291715173
1999-06-30,,1.0426432291715173
1999-07-31,,-0.1761067708284827
1999-08-31,,-3.3636067708284827
1999-09-30,,-5.285481770828483
1999-10-31,,-4.840169270828483
1999-11-30,,-3.6136067708284827
1999-12-31,,-0.9104817708284827
2000-01-31,,1.4098307291715173
2000-02-29,,4.081705729171517
2000-03-31,,6.777018229171517
2000-04-30,,5.823893229171517
2000-05-31,,1.3629557291715173
2000-06-30,,-1.2698567708284827
2000-07-31,,-2.2151692708284827
2000-08-31,,-3.0042317708284827
2000-09-30,,-3.1292317708284827
2000-10-31,,-2.6370442708284827
2000-11-30,,-2.0354817708284827
2000-12-31,,-0.8167317708284827
2001-01-31,,0.6832682291715173
2001-02-28,,1.5895182291715173
2001-03-31,,2.8785807291715173
2001-04-30,,4.089518229171517
2001-05-31,,1.5426432291715173
2001-06-30,,0.019205729171517305
2001-07-31,,-0.9573567708284827
2001-08-31,,-2.4339192708284827
2001-09-30,,-0.1526692708284827
2001-10-31,,0.6676432291715173
2001-11-30,,0.5270182291715173
2001-12-31,,2.6910807291715173
2002-01-31,,4.183268229171517
2002-02-28,,5.542643229171517
2002-03-31,,7.112955729171517
2002-04-30,10.169204731598425,5.183268229171517
2002-05-31,7.669061542202406,3.4801432291715173
2002-06-30,,1.9488932291715173
2002-07-31,,0.8082682291715173
2002-08-31,4.932111774518361,2.1598307291715173
2002-09-30,2.982456351864335,0.0817057291715173
2002-10-31,3.3510945309390623,1.1832682291715173
2002-11-30,6.494089546690449,5.316080729171517
2002-12-31,6.875702093918289,5.972330729171517
2003-01-31,8.803124688201592,8.269205729171517
2003-02-28,11.340155367722861,7.433268229171517
2003-03-31,9.329742069714294,5.378580729171517
2003-04-30,9.057941705075935,2.9645182291715173
2003-05-31,3.235483907562151,0.9020182291715173
2003-06-30,,-1.9104817708284827
2003-07-31,-1.5862143762140517,-4.176106770828483
2003-08-31,-5.131032041682596,-7.168294270828483
2003-09-30,-7.172230546388598,-8.176106770828483
2003-10-31,-5.303004948780313,-6.988606770828483
2003-11-30,-6.329189398279163,-6.426106770828483
2003-12-31,-2.848788233336351,-4.433919270828483
2004-01-31,-2.2638097733057876,-0.8714192708284827
2004-02-29,6.316870800060999,1.7379557291715173
2004-03-31,3.707988891753991,1.5426432291715173
2004-04-30,2.4538301264808826,0.3160807291715173
2004-05-31,0.16956671869772655,-0.8870442708284827
2004-06-30,-0.04140781106055663,-1.2464192708284827
2004-07-31,1.3398596520921413,-1.5745442708284827
2004-08-31,-3.2666039785196794,-3.9104817708284827
2004-09-30,-4.626083025868032,-4.707356770828483
2004-10-31,-6.111561216138343,-4.058919270828483
2004-11-30,-1.3037949133415072,-1.1995442708284827
2004-12-31,-0.6034040638276112,0.019205729171517305
2005-01-31,1.0953180138065033,1.9879557291715173
2005-02-28,6.460749503634987,4.058268229171517
2005-03-31,7.147209944713797,4.222330729171517
2005-04-30,3.0202582008032532,1.6676432291715173
2005-05-31,3.3227549666994047,0.4020182291715173
2005-06-30,-0.24482401329411357,-1.5901692708284827
2005-07-31,-0.8762500524547947,-1.6370442708284827
2005-08-31,0.2139520241601589,-0.7776692708284827
2005-09-30,-3.0757049213637293,-2.7698567708284827
2005-10-31,-5.559067853911953,-3.5042317708284827
2005-11-30,-5.915900281200498,-3.2464192708284827
2005-12-31,-1.8463348002247844,-1.2854817708284827
2006-01-31,1.6894695659283971,0.6442057291715173
2006-02-28,3.9822989731846326,1.7535807291715173
2006-03-31,6.286686648175411,2.7613932291715173
2006-04-30,5.596156049237056,3.4723307291715173
2006-05-31,1.2336344935926178,1.1598307291715173
2006-06-30,0.924370984417558,-0.012044270828482695
2006-07-31,-5.415524549766065,-3.9339192708284827
2006-08-31,-3.37343947007143,-3.2698567708284827
2006-09-30,-4.2389834248132585,-3.8870442708284827
2006-10-31,-7.561032748155887,-4.887044270828483
2006-11-30,-5.91949094753114,-2.8714192708284827
2006-12-31,-3.8439398215014737,-1.6917317708284827
2007-01-31,-1.1839924960148376,1.2223307291715173
2007-02-28,4.012336952515048,3.5426432291715173
2007-03-31,5.205674411694576,4.948893229171517
2007-04-30,0.983724446565347,1.5426432291715173
2007-05-31,-2.055350921641586,-1.0120442708284827
2007-06-30,-2.1333783182609896,-0.9573567708284827
2007-07-31,-1.5508507278210573,-0.2932942708284827
2007-08-31,-1.7096972071227339,-0.6136067708284827
2007-09-30,-1.5255421290377922,-0.5276692708284827
2007-10-31,-1.9100312051959563,-0.1761067708284827
2007-11-30,1.8206552854044873,1.4567057291715173
2007-12-31,4.590288039136839,3.5426432291715173
2008-01-31,1.4190603043362735,3.4957682291715173
2008-02-29,4.371256835336576,4.331705729171517
2008-03-31,8.097355864888419,5.042643229171517
2008-04-30,7.737569743850767,5.941080729171517
2008-05-31,3.926959854010528,2.6676432291715173
2008-06-30,-3.1692098366791335,-1.4495442708284827
2008-07-31,-4.261443643607574,-3.1448567708284827
2008-08-31,-3.028076082521719,-3.8401692708284827
2008-09-30,-5.635528084437955,-4.293294270828483
2008-10-31,-6.468071664465208,-3.7073567708284827
2008-11-30,-5.063602808107255,-1.6839192708284827
2008-12-31,-1.7308202682523237,0.4567057291715173
2009-01-31,-0.8349106232068294,0.8707682291715173
2009-02-28,0.5151038068558722,1.5738932291715173
2009-03-31,4.422972967640737,4.058268229171517
2009-04-30,1.5409115241922298,2.2223307291715173
2009-05-31,-1.8145990915760624,-0.4807942708284827
2009-06-30,-2.9994778995535682,-0.4261067708284827
2009-07-31,-1.479228758839139,0.2301432291715173
2009-08-31,-6.0648858990920305,-3.2229817708284827
2009-09-30,-7.525477755594888,-5.285481770828483
2009-10-31,-6.539913939163992,-3.8167317708284827
2009-11-30,-5.165823801017014,-0.6136067708284827
2009-12-31,0.07170235680921855,2.1363932291715173
2010-01-31,3.607129594422142,4.495768229171517
2010-02-28,5.019827728254098,5.495768229171517
2010-03-31,4.7737871598089905,4.667643229171517
2010-04-30,3.5698949245016305,2.9176432291715173
2010-05-31,4.534235342217299,2.1754557291715173
2010-06-30,4.0987443204009155,1.3317057291715173
2010-07-31,0.5635482587736989,-2.5979817708284827
2010-08-31,2.226496008321325,-0.6604817708284827
2010-09-30,2.917670057065286,1.4957682291715173
2010-10-31,3.9054983734253623,2.1520182291715173
2010-11-30,8.00548935163301,3.8238932291715173
2010-12-31,11.80870337999792,7.472330729171517
2011-01-31,,8.542643229171517
2011-02-28,12.716303918171079,7.206705729171517
2011-03-31,10.61823480741783,5.331705729171517
2011-04-30,9.247367071673006,2.3785807291715173
2011-05-31,4.751305101394768,-1.4104817708284827
2011-06-30,,-3.1917317708284827
2011-07-31,1.8651388591819467,-2.0589192708284827
2011-08-31,5.815061479464596,-1.1448567708284827
2011-09-30,1.50471159390531,-2.2620442708284827
2011-10-31,-0.5216546393450159,-3.1917317708284827
2011-11-30,-0.7767446496738426,-4.269856770828483
2011-12-31,,-1.9651692708284827
2012-01-31,7.274037593466126,2.3160807291715173
2012-02-29,7.448645571524894,2.6832682291715173
2012-03-31,7.115735004619336,1.6676432291715173
2012-04-30,6.777728301706093,-0.2464192708284827
2012-05-31,,-2.4807942708284827
2012-06-30,-0.9193420737125315,-4.004231770828483
2012-07-31,1.1061677880196903,-2.4339192708284827
2012-08-31,-1.0067430192668239,-5.379231770828483
2012-09-30,-3.706759875480296,-6.215169270828483
2012-10-31,,-5.801106770828483
2012-11-30,-0.23830933845671265,-4.199544270828483
2012-12-31,-0.3836558108207861,-1.0979817708284827
2013-01-31,5.337027702732729,2.1363932291715173
2013-02-28,7.802348731741037,3.8707682291715173
2013-03-31,,3.5426432291715173
2013-04-30,8.177449527785477,1.6910807291715173
2013-05-31,7.764450770790762,1.3395182291715173
2013-06-30,7.864678978335644,4.972330729171517
2013-07-31,4.976286857747599,-0.6604817708284827
2013-08-31,,-3.3323567708284827
2013-09-30,,-3.6448567708284827
2013-10-31,0.19087341103730504,-2.9339192708284827
2013-11-30,2.9679624283336787,-1.0354817708284827
2013-12-31,2.535711621632453,-0.1682942708284827
2014-01-31,2.9415872964042693,0.2848307291715173
2014-02-28,,0.2067057291715173
2014-03-31,3.273818046434207,-0.8948567708284827
2014-04-30,2.5232871923179667,-1.8011067708284827
2014-05-31,-0.18538193880983234,-1.1761067708284827
2014-06-30,-1.2537243844299082,-2.9807942708284827
2014-07-31,,-3.3323567708284827
2014-08-31,-2.2727807460142566,-3.1057942708284827
2014-09-30,-1.5988378110205623,-2.6682942708284827
2014-10-31,-3.048380801223498,-2.4339192708284827
2014-11-30,0.13595939204620489,-2.1057942708284827
2014-12-31,,-1.0276692708284827
2015-01-31,4.477677190851677,2.6129557291715173
2015-02-28,6.017421171115696,2.5192057291715173
2015-03-31,3.394249881978528,1.5035807291715173
2015-04-30,1.7070667409903444,1.0817057291715173
2015-05-31,,-1.6370442708284827
2015-06-30,,-4.730794270828483
2015-07-31,-7.642622458397301,-6.613606770828483
2015-08-31,-8.261391137829111,-7.332356770828483
2015-09-30,-9.799037296534603,-8.058919270828483
2015-10-31,,-7.152669270828483
2015-11-30,,-5.269856770828483
2015-12-31,-4.9115001720475036,-2.4807942708284827
